run,jd_tdb,body_id,body_name,x,y,z,vx,vy,vz
tight,2461565.750000000,2,Venus Barycenter,5.86596600737266161e-01,3.95473240020708106e-01,1.40983579079539095e-01,-1.18916962889105172e-02,1.46118680547783052e-02,7.32745255480954111e-03
tight,2461565.750000000,3,Earth-Moon Barycenter,-2.13905022406008782e-01,-9.14339770341174418e-01,-3.96273950862368884e-01,1.65421384511461218e-02,-3.38298578437979487e-03,-1.46666026301395941e-03
tight,2461565.750000000,4,Mars Barycenter,-1.53303295749517376e+00,-4.98733051604152211e-01,-1.87245607240714262e-01,5.08045430158411433e-03,-1.08878912143634144e-02,-5.13117159576673924e-03
tight,2461565.750000000,5,Jupiter Barycenter,-4.69930390690151434e+00,2.35964636250369519e+00,1.12585375585369007e+00,-3.75774962586406013e-03,-5.77091389416562687e-03,-2.38207948302425043e-03
tight,2461565.750000000,6,Saturn Barycenter,8.81658367639833962e+00,3.01505704451457301e+00,8.65614727735330658e-01,-2.16069107632682134e-03,4.81800507480536003e-03,2.08312412729765896e-03
tight,2461565.750000000,7,Uranus Barycenter,8.03346869008164255e+00,1.62080992934827677e+01,6.98507652609394469e+00,-3.60869344042740467e-03,1.30601803216363302e-03,6.23033188977026244e-04
tight,2461565.750000000,8,Neptune Barycenter,2.97843684681849936e+01,2.27896129574301076e+00,1.91264826682984779e-01,-2.48393953145223465e-04,2.91311034110251603e-03,1.19853522569067180e-03
tight,2461565.750000000,9,Pluto Barycenter,2.06336850802880925e+01,-2.55653138163565927e+01,-1.41950200688339141e+01,2.65281498234980423e-03,1.37109124661632638e-03,-3.71407133511431596e-04
tight,2461565.750000000,10,Sun,8.01520594900912938e-05,-3.93811368209802046e-03,-1.63627302028641463e-03,4.35035656923699833e-06,3.90579405541997935e-06,1.57956265129800189e-06
tight,2461931.000000000,1,Mercury Barycenter,-4.47478537358644152e-03,-4.11813782754847257e-01,-2.19142262731878756e-01,2.24905833140189547e-02,1.79846991658709726e-03,-1.37039696771288537e-03
tight,2461931.000000000,2,Venus Barycenter,-9.63746559380345008e-02,-6.61091983279339490e-01,-2.91231268689562783e-01,1.99089080879193935e-02,-2.08643152600057093e-03,-2.19846237254176869e-03
tight,2461931.000000000,3,Earth-Moon Barycenter,-2.13002736851785168e-01,-9.12666949153142615e-01,-3.95576669701664663e-01,1.65382912060114892e-02,-3.38412068261470913e-03,-1.46707500925638687e-03
tight,2461931.000000000,4,Mars Barycenter,9.82981649763212117e-01,9.98805115271358401e-01,4.31754399596674887e-01,-9.86727499825291315e-03,9.50792306210385997e-03,4.62706435404580587e-03
tight,2461931.000000000,5,Jupiter Barycenter,-5.44050980792323635e+00,4.87710740345145347e-02,1.53398811882538205e-01,-2.37213401329855694e-04,-6.61423585261954310e-03,-2.82925120781430620e-03
tight,2461931.000000000,6,Saturn Barycenter,7.81992935894512264e+00,4.68729685900518778e+00,1.59925489744318239e+00,-3.28054116061689879e-03,4.29844001933638292e-03,1.91675437956369417e-03
