comparison,jd_tdb,body_id,body_name,position_residual_au,position_residual_km,velocity_residual_au_per_day,velocity_residual_m_per_s
tight_jx_vs_horizons_de441,2461931.000000000,4,Mars Barycenter,4.98636118873765013e-07,7.45949016376273164e+01,4.83361428159567137e-09,8.36919449434979888e-03
tight_jx_vs_horizons_de441,2461931.000000000,5,Jupiter Barycenter,7.07459472840221198e-09,1.05834430743441565e+00,1.84418406208139346e-11,3.19312510261866975e-05
tight_jx_vs_horizons_de441,2461931.000000000,6,Saturn Barycenter,5.32491454738632989e-09,7.96595877948449105e-01,1.57601922968300696e-11,2.72880927017166714e-05
tight_jx_vs_horizons_de441,2461931.000000000,7,Uranus Barycenter,4.45495022355900864e-09,6.66451067518916584e-01,1.22037222738777289e-11,2.11302183655818347e-05
tight_jx_vs_horizons_de441,2461931.000000000,8,Neptune Barycenter,5.65403297163184285e-09,8.45831293423717101e-01,1.65018897873805131e-11,2.85723098925717581e-05
tight_jx_vs_horizons_de441,2461931.000000000,9,Pluto Barycenter,8.18435738994021036e-09,1.22436243858286486e+00,2.11889506538902563e-11,3.66877534744138324e-05
tight_jx_vs_horizons_de441,2461931.000000000,10,Sun,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
tight_jx_vs_horizons_de441,2462296.250000000,1,Mercury Barycenter,3.26607562630442390e-06,4.88597959240310672e+02,2.30380213317510863e-07,3.98893395413326413e-01
tight_jx_vs_horizons_de441,2462296.250000000,2,Venus Barycenter,1.91615054915791409e-06,2.86652042094659578e+02,5.31812265745181397e-08,9.20809983421547185e-02
tight_jx_vs_horizons_de441,2462296.250000000,3,Earth-Moon Barycenter,1.31440655876642605e-06,1.96632422425571747e+02,2.17366293943923828e-08,3.76360355740292946e-02
tight_jx_vs_horizons_de441,2462296.250000000,4,Mars Barycenter,7.66448721054512926e-07,1.14659096670493383e+02,6.68143371678245372e-09,1.15686140885861329e-02
tight_jx_vs_horizons_de441,2462296.250000000,5,Jupiter Barycenter,1.76716332264044024e-08,2.64363870246146959e+00,4.26290946660087801e-11,7.38104374062921350e-05
tight_jx_vs_horizons_de441,2462296.250000000,6,Saturn Barycenter,1.05503300066349426e-08,1.57830690417490405e+00,1.91701726702902537e-11,3.31923265327170675e-05
tight_jx_vs_horizons_de441,2462296.250000000,7,Uranus Barycenter,7.80927855607065628e-09,1.16825144369134071e+00,1.29737032430993817e-11,2.24634071789508296e-05
tight_jx_vs_horizons_de441,2462296.250000000,8,Neptune Barycenter,1.12892615945614463e-08,1.68884949632167891e+00,1.88270017369351546e-11,3.25981408739664451e-05
tight_jx_vs_horizons_de441,2462296.250000000,9,Pluto Barycenter,1.55850130304185193e-08,2.33148476418236461e+00,2.13145415183967519e-11,3.69052086354039225e-05
tight_jx_vs_horizons_de441,2462296.250000000,10,Sun,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
tight_jx_vs_horizons_de441,2462661.500000000,1,Mercury Barycenter,6.57454970003654586e-06,9.83538635936790911e+02,4.98944997056297371e-07,8.63901726343053844e-01
tight_jx_vs_horizons_de441,2462661.500000000,2,Venus Barycenter,2.44208128044367686e-06,3.65330159630703577e+02,6.81033929005409486e-08,1.17918085247296550e-01
tight_jx_vs_horizons_de441,2462661.500000000,3,Earth-Moon Barycenter,1.75230973139204282e-06,2.62141804623138512e+02,2.92039650214431123e-08,5.05654048982079676e-02
tight_jx_vs_horizons_de441,2462661.500000000,4,Mars Barycenter,9.35423335696012289e-07,1.39937339223214735e+02,8.83788976009285571e-09,1.53024246480465854e-02
tight_jx_vs_horizons_de441,2462661.500000000,5,Jupiter Barycenter,3.90208658392168076e-08,5.83743844241720211e+00,8.03816904420429842e-11,1.39177427469863095e-04
tight_jx_vs_horizons_de441,2462661.500000000,6,Saturn Barycenter,1.52744038411304753e-08,2.28501829084502006e+00,1.79672680776270490e-11,3.11095491517255609e-05
tight_jx_vs_horizons_de441,2462661.500000000,7,Uranus Barycenter,9.80259700090479240e-09,1.46644763866556271e+00,9.62305623874811401e-12,1.66619065155447740e-05
